,cv,std,mean,stability_score
496,0.1456860914317762,0.3321211741444591,2.279704060150376,0.8728394343604969
500,0.14579246281503586,0.3316289850245652,2.2746648120300748,0.872758402986134
244,0.14609524342101557,0.09974426461711607,0.6827345112781954,0.8725278337383799
501,0.14698183660913083,0.3339171711978943,2.271826090225564,0.8718533878063324
495,0.1477104102019809,0.3372604437973568,2.2832543984962403,0.8712999299396562
255,0.14775528135065688,0.05330908344470916,0.3607930827067669,0.871265866730074
457,0.14896394962351991,0.08999383169244181,0.6041316165413534,0.870349326737074
140,0.14948131876740567,0.020774197860404776,0.13897521129532997,0.8699575918922327
247,0.1496728660362048,0.0789400241144561,0.527417067669173,0.8698126480515794
97,0.1509822017373388,0.018472120732732588,0.12234634625919831,0.8688231655455313
246,0.1511185267008603,0.09344183443954311,0.6183347368421053,0.8687202723302782
498,0.15114407855104792,0.34302912302504585,2.26955052631579,0.8687009894180285
499,0.15294244546221297,0.34673936568215186,2.267123195488722,0.8673459841259478
248,0.1531351508698944,0.08290784275172668,0.541403082706767,0.8672010381832751
76,0.15369128665604645,0.008142138349452252,0.05297722809539592,0.8667830047485945
90,0.15503806293772032,0.04059291737447805,0.26182549372268965,0.8657723343390112
83,0.15533629356807566,0.01962807921418098,0.12635861692926925,0.8655488497739963
243,0.15552154855202982,0.10314023054407502,0.6631893233082706,0.8654100836571053
242,0.15824627624949483,0.1279283124168557,0.8084127819548872,0.8633742413039215
123,0.158276935219867,0.28424949729901744,1.7958996799133011,0.8633513882499763
14,0.15921859504099722,0.059985205663263014,0.3767474876148569,0.8626500681389033
251,0.16052788940990206,0.07140659511608645,0.4448236090225564,0.8616768361408994
494,0.1611980259222455,0.3644471263786016,2.260865939849624,0.8611795556625935
241,0.1613814231315394,0.13459611109242817,0.8340248120300752,0.8610435642268224
137,0.16245700087948423,0.040255857372928965,0.24779392180698964,0.8602468729969593
295,0.16358098119662182,0.1015131912154278,0.6205684210526315,0.8594159032847066
253,0.16505085098055772,0.06557503816021291,0.397302030075188,0.8583316334719264
249,0.16674190042951215,0.08068009951438859,0.4838621804511278,0.8570875869220695
462,0.16883870731965933,0.03803577960127452,0.2252787894736842,0.8555500376037046
504,0.16959619602683676,0.3603961628377257,2.125025037593985,0.854995940818753
503,0.17001617148559112,0.36109170284834385,2.123866804511278,0.8546890413747714
460,0.18269680537234487,0.0525245715670486,0.2874958402255639,0.845525239822706
447,0.1861461599457453,0.06394606253666435,0.3435260902255639,0.8430664228139814
476,0.18721781557974684,0.009150176071812774,0.04887449436090225,0.8423054193401538
89,0.18775445420263603,0.04848837693087323,0.25825420300570673,0.8419248578371534
87,0.18944770551958978,0.08308969876329941,0.43858910054050537,0.8407263264786973
3,0.1923451558561878,0.03999414860678244,0.20792906599990058,0.8386833251164841
479,0.1954122748415088,0.00763109249595555,0.039051244360902244,0.8365314804322073
478,0.197947484141996,0.008698747866686396,0.04394472556390977,0.8347611337205056
459,0.2043700666190191,0.04562097294768582,0.22322727443609022,0.8303095765301282
294,0.20568727459462116,0.12735715284453383,0.6191785714285715,0.8294024670171809
5,0.20649238793316307,0.034508092036814646,0.16711556480224413,0.8288489923364504
466,0.20703700765503277,0.024440185594465178,0.11804742481203008,0.828475012495886
449,0.20789807907016428,0.045657907881563896,0.21961678571428572,0.8278844194948936
147,0.2091074492794684,0.029592242187991384,0.14151692008084263,0.8270563551617519
309,0.21180644293029224,0.08453495886571628,0.3991141992481203,0.8252142954297891
470,0.21680358109881953,0.014984567376913494,0.06911586654135338,0.8218253262346271
142,0.2211677829340866,0.027442504003364687,0.12408002485399613,0.8188882919899105
468,0.22540217425583267,0.023151991126824204,0.10271414285714285,0.816058614068711
